#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
119,Mauritania,"16,543",,421,,"15,560",,562,29,"3,505",89,"143,337","30,372","4,719,364",Africa,285,"11,210",33
120,French Guiana,"15,932",,76,,"9,995",,"5,861",15,"52,564",251,"130,648","431,041","303,099",South America,19,"3,988",2
121,Maldives,"15,496",,51,,"14,028",,"1,417",54,"28,381",93,"400,640","733,765","546,006",Asia,35,"10,706",1
122,Jamaica,"15,435",,344,,"11,961",,"3,130",12,"5,199",116,"163,156","54,960","2,968,644",North America,192,"8,630",18
123,Eswatini,"15,283",,538,,"9,833",,"4,912",67,"13,095",461,"125,614","107,630","1,167,088",Africa,76,"2,169",9
124,Rwanda,"14,529",,186,,"9,234",,"5,109",,"1,106",14,"858,262","65,339","13,135,527",Africa,904,"70,621",15
125,Guinea,"14,435",,82,,"13,946",,407,24,"1,082",6,"122,341","9,174","13,335,848",Africa,924,"162,632",109
126,Syria,"13,885",,906,,"7,329",,"5,650",,783,51,,,"17,743,462",Asia,"1,278","19,584",
127,Cabo Verde,"13,784",,131,,"12,981",,672,23,"24,638",234,"111,390","199,100","559,467",Africa,41,"4,271",5
128,Tajikistan,"13,308",,90,,"13,218",,0,,"1,378",9,,,"9,660,145",Asia,726,"107,335",
129,Belize,"11,845",,298,,"11,273",,274,2,"29,482",742,"68,932","171,572","401,768",North America,34,"1,348",6
130,Haiti,"11,370",,244,,"9,016",,"2,110",,990,21,"48,260","4,203","11,482,554",North America,"1,010","47,060",238
131,Gabon,"10,536",,68,,"10,122",,346,10,"4,671",30,"432,630","191,790","2,255,743",Africa,214,"33,173",5
132,Burkina Faso,"10,377",,120,,"8,825",,"1,432",,489,6,,,"21,229,933",Africa,"2,046","176,916",
133,Hong Kong,"10,322",,177,,"9,239",,906,32,"1,370",23,"6,442,498","855,340","7,532,087",Asia,730,"42,554",1
134,Réunion,"9,904",,45,,"9,261",,598,6,"11,017",50,"98,785","109,883","899,002",Africa,91,"19,978",9
135,Andorra,"9,779",,100,,"8,942",,737,15,"126,447","1,293","180,088","2,328,614","77,337",Europe,8,773,0
136,Guadeloupe,"9,097",,154,,"2,242",,"6,701",3,"22,733",385,"116,095","290,119","400,164",North America,44,"2,598",3
137,Suriname,"8,293",,154,,"7,505",,634,11,"14,064",261,"35,878","60,845","589,664",South America,71,"3,829",16
138,Lesotho,"8,278",,160,,"2,512",,"5,606",,"3,847",74,"47,600","22,118","2,152,052",Africa,260,"13,450",45
139,Bahamas,"8,161",,175,,"6,754",,"1,232",13,"20,639",443,"59,136","149,556","395,411",North America,48,"2,259",7
140,Mali,"8,056",,328,,"5,883",,"1,845",,391,16,"140,578","6,830","20,582,931",Africa,"2,555","62,753",146
141,Mayotte,"8,032",,61,,"2,964",,"5,007",4,"29,041",221,"67,397","243,684","276,575",Africa,34,"4,534",4
142,Congo,"7,887",,117,,"5,846",,"1,924",,"1,409",21,"73,120","13,067","5,595,641",Africa,709,"47,826",77
143,Trinidad and Tobago,"7,520",,134,,"7,099",,287,2,"5,363",96,"82,866","59,101","1,402,111",North America,186,"10,464",17
144,Guyana,"7,470",,175,,"6,534",,761,7,"9,471",222,"47,957","60,801","788,747",South America,106,"4,507",16
145,Aruba,"6,858",,59,,"6,394",,405,11,"64,077",551,"82,997","775,470","107,028",North America,16,"1,814",1
146,Martinique,"6,402",,45,,98,,"6,259",2,"17,068",120,"85,972","229,200","375,096",North America,59,"8,335",4
147,Nicaragua,"6,253",,169,,"4,225",,"1,859",,937,25,,,"6,669,938",North America,"1,067","39,467",
148,Iceland,"6,001",,29,,"5,925",,47,,"17,520",85,"473,653","1,382,840","342,522",Europe,57,"11,811",1
149,Djibouti,"5,929",,62,,"5,845",,22,,"5,951",62,"107,100","107,502","996,259",Africa,168,"16,069",9
150,Equatorial Guinea,"5,492",,86,,"5,268",,138,2,"3,843",60,"86,163","60,290","1,429,154",Africa,260,"16,618",17
151,CAR,"4,981",,63,,"4,885",,33,2,"1,021",13,"35,523","7,282","4,877,949",Africa,979,"77,428",137
152,Togo,"4,922",,76,,"4,122",,724,,587,9,"203,994","24,315","8,389,604",Africa,"1,705","110,390",41
153,Somalia,"4,784",,130,,"3,666",,988,,296,8,,,"16,145,838",Africa,"3,375","124,199",
154,Curaçao,"4,574",,20,,"4,479",,75,3,"27,809",122,"43,399","263,854","164,481",North America,36,"8,224",4
155,Niger,"4,474",,157,,"3,622",,695,3,181,6,"72,931","2,952","24,702,960",Africa,"5,521","157,344",339
156,Gibraltar,"4,082",,70,,"3,530",,482,53,"121,182","2,078","154,847","4,596,913","33,685",Europe,8,481,0
157,Gambia,"4,019",,128,,"3,780",,111,1,"1,637",52,"34,699","14,132","2,455,343",Africa,611,"19,182",71
158,South Sudan,"3,929",,64,,"3,613",,252,2,349,6,"86,917","7,713","11,269,302",Africa,"2,868","176,083",130
159,Benin,"3,786",,48,,"3,398",,340,,308,4,"419,734","34,113","12,304,319",Africa,"3,250","256,340",29
160,Channel Islands,"3,554",,79,,"3,227",,248,4,"20,333",452,"308,955","1,767,609","174,787",Europe,49,"2,212",1
161,Chad,"3,296",,118,,"2,364",,814,,197,7,,,"16,694,245",Africa,"5,065","141,477",
162,Sierra Leone,"3,282",,77,,"2,260",,945,,407,10,"105,513","13,075","8,069,879",Africa,"2,459","104,804",76
163,San Marino,"2,969",,65,,"2,684",,220,10,"87,396","1,913","33,424","983,869","33,972",Europe,11,523,1
164,Comoros,"2,598",,85,,"1,538",,975,,"2,952",97,,,"880,202",Africa,339,"10,355",
165,Guinea-Bissau,"2,532",,45,,"2,421",,66,5,"1,269",23,"43,152","21,635","1,994,578",Africa,788,"44,324",46
166,Liechtenstein,"2,475",,52,,"2,352",,71,4,"64,806","1,362","23,956","627,268","38,191",Europe,15,734,2
167,New Zealand,"2,305",+6,25,,"2,208",+3,72,,461,5,"1,518,737","303,620","5,002,100",Australia/Oceania,"2,170","200,084",3
168,Yemen,"2,120",,615,,"1,425",,80,23,70,20,"17,404",576,"30,201,712",Asia,"14,246","49,108","1,735"
169,Eritrea,"2,085",,7,,"1,549",,529,,583,2,"23,693","6,628","3,574,649",Africa,"1,714","510,664",151
170,Liberia,"1,936",,84,,"1,757",,95,2,378,16,"63,804","12,448","5,125,610",Africa,"2,648","61,019",80
171,Sint Maarten,"1,822",,27,,"1,644",,151,1,"42,219",626,"13,533","313,583","43,156",North America,24,"1,598",3
172,Mongolia,"1,710",+18,2,,"1,303",+59,405,1,517,0.6,"1,010,477","305,409","3,308,607",Asia,"1,935","1,654,304",3
173,Vietnam,"1,651",+9,35,,"1,430",,186,,17,0.4,"1,436,836","14,685","97,843,804",Asia,"59,263","2,795,537",68
174,Burundi,"1,584",,2,,773,,809,,131,0.2,"90,019","7,444","12,092,281",Africa,"7,634","6,046,141",134
175,Barbados,"1,477",,11,,"1,098",,368,1,"5,136",38,"101,253","352,088","287,579",North America,195,"26,144",3
176,Turks and Caicos,"1,435",+48,8,,"1,051",,376,8,"36,778",205,"14,083","360,936","39,018",North America,27,"4,877",3
177,Monaco,"1,430",,11,,"1,198",,221,9,"36,292",279,"51,953","1,318,504","39,403",Europe,28,"3,582",1
178,Saint Martin,"1,234",,12,,"1,050",,172,7,"31,605",307,"12,433","318,436","39,044",North America,32,"3,254",3
179,Sao Tome and Principe,"1,232",,17,,"1,011",,204,,"5,562",77,"11,243","50,760","221,492",Africa,180,"13,029",20
180,Seychelles,"1,149",,3,,854,,292,,"11,641",30,"5,200","52,685","98,699",Africa,86,"32,900",19
181,Saint Lucia,"1,029",,13,,523,,493,1,"5,589",71,"23,541","127,862","184,112",North America,179,"14,162",8
182,Taiwan,899,+4,7,,813,+4,79,,38,0.3,"151,837","6,369","23,841,748",Asia,"26,520","3,405,964",157
183,Bhutan,857,,1,,776,,80,,"1,104",1,"454,693","585,565","776,503",Asia,906,"776,503",2
184,Papua New Guinea,851,,9,,812,,30,,94,1.0,"41,652","4,605","9,044,169",Australia/Oceania,"10,628","1,004,908",217
185,St. Vincent Grenadines,827,,2,,174,,651,2,"7,441",18,"28,138","253,167","111,144",North America,134,"55,572",4
186,Diamond Princess,712,,13,,699,,0,,,,,,,,,,
187,Bermuda,690,,12,,650,,28,5,"11,103",193,"162,659","2,617,453","62,144",North America,90,"5,179",0
188,Faeroe Islands,654,,1,,645,,8,1,"13,355",20,"220,166","4,495,936","48,970",Europe,75,"48,970",0
189,Mauritius,569,,10,,528,,31,,447,8,"289,552","227,458","1,272,991",Africa,"2,237","127,299",4
190,Tanzania,509,,21,,183,,305,7,8,0.3,,,"60,703,160",Africa,"119,260","2,890,627",
191,Cambodia,463,+2,,,438,+10,25,,27,,"389,799","23,131","16,852,035",Asia,"36,397",,43
192,Isle of Man,432,,25,,379,,28,1,"5,065",293,"27,591","323,485","85,293",Europe,197,"3,412",3
193,Cayman Islands,385,,2,,356,,27,1,"5,819",30,"66,481","1,004,761","66,166",North America,172,"33,083",1
194,Caribbean Netherlands,360,,3,,244,,113,,"13,655",114,"5,145","195,152","26,364",North America,73,"8,788",5
195,St. Barth,360,,1,,247,,112,,"36,386",101,"8,518","860,926","9,894",North America,27,"9,894",1
196,Antigua and Barbuda,215,,6,,174,,35,1,"2,185",61,"8,668","88,092","98,397",North America,458,"16,400",11
197,Brunei,180,,3,,170,,7,,409,7,"90,972","206,804","439,895",Asia,"2,444","146,632",5
