#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
191,Liechtenstein,99,,1,,88,,10,,"2,595",26,900,"23,595","38,144",Europe,385,"38,144",42
192,Antigua and Barbuda,94,,3,,89,,2,1,959,31,"1,775","18,104","98,043",North America,"1,043","32,681",55
193,St. Vincent Grenadines,58,,,,56,,2,,523,,"3,039","27,381","110,990",North America,"1,914",,37
194,Macao,46,,,,46,,0,,71,,"4,071","6,258","650,556",Asia,"14,143",,160
195,Curaçao,37,,1,,32,,4,,225,6,"1,080","6,578","164,189",North America,"4,438","164,189",152
196,Fiji,28,,1,,20,,7,,31,1,"6,693","7,459","897,361",Australia/Oceania,"32,049","897,361",134
197,Saint Lucia,26,,,,25,,1,,141,,"4,946","26,918","183,746",North America,"7,067",,37
198,Timor-Leste,26,,,,25,,1,,20,,"5,146","3,893","1,321,843",Asia,"50,840",,257
199,Grenada,24,,,,24,,0,,213,,"6,252","55,525","112,597",North America,"4,692",,18
200,New Caledonia,23,,,,22,,1,,80,,"11,838","41,409","285,882",Australia/Oceania,"12,430",,24
201,Laos,22,,,,20,,2,,3,,"35,580","4,881","7,290,079",Asia,"331,367",,205
202,British Virgin Islands,21,+9,1,,8,,12,,694,33,"2,092","69,136","30,259",North America,"1,441","30,259",14
203,Dominica,19,+1,,,18,,1,,264,,"1,646","22,857","72,012",North America,"3,790",,44
204,Saint Kitts and Nevis,17,,,,17,,0,,319,,"1,430","26,853","53,252",North America,"3,132",,37
205,St. Barth,16,,,,9,,7,,"1,619",,"1,699","171,946","9,881",North America,618,,6
206,Greenland,14,,,,14,,0,,247,,"6,464","113,835","56,784",North America,"4,056",,9
207,Montserrat,13,,1,,12,,0,,"2,604",200,61,"12,220","4,992",North America,384,"4,992",82
208,Caribbean Netherlands,13,,,,7,,6,,495,,424,"16,148","26,257",North America,"2,020",,62
